"Season","TeamID","Wins","Loses","WinsAtHome","WinsAtAway","WinsAtNeutral","LosesAtHome","LosesAtAway","LosesAtNeutral","WinPer","WinPerHome","WinPerAway","WinPerNeut","WinPerNotHome"
2003,1104,17,11,13,1,3,8,2,1,0.607142857142857,0.619047619047619,0.333333333333333,0.75,0.571428571428571
2003,1272,23,6,14,7,2,4,2,0,0.793103448275862,0.777777777777778,0.777777777777778,1,0.818181818181818
2003,1266,23,5,15,7,1,3,1,1,0.821428571428571,0.833333333333333,0.875,0.5,0.8
2003,1296,17,14,7,8,2,6,7,1,0.548387096774194,0.538461538461538,0.533333333333333,0.666666666666667,0.555555555555556
2003,1400,22,6,14,5,3,4,0,2,0.785714285714286,0.777777777777778,1,0.6,0.8
2003,1458,22,7,16,6,0,5,1,1,0.758620689655172,0.761904761904762,0.857142857142857,0,0.75
2003,1161,17,13,12,3,2,9,4,0,0.566666666666667,0.571428571428571,0.428571428571429,1,0.555555555555556
2003,1186,17,12,8,7,2,8,2,2,0.586206896551724,0.5,0.777777777777778,0.5,0.692307692307692
2003,1194,6,21,3,1,2,15,6,0,0.222222222222222,0.166666666666667,0.142857142857143,1,0.333333333333333
2003,1166,29,4,17,7,5,4,0,0,0.878787878787879,0.80952380952381,1,1,1
2003,1202,11,17,7,3,1,10,5,2,0.392857142857143,0.411764705882353,0.375,0.333333333333333,0.363636363636364
2003,1237,19,13,8,7,4,8,3,2,0.59375,0.5,0.7,0.666666666666667,0.6875
2003,1323,22,9,14,4,4,6,2,1,0.709677419354839,0.7,0.666666666666667,0.8,0.727272727272727
2003,1125,16,12,7,7,2,8,3,1,0.571428571428571,0.466666666666667,0.7,0.666666666666667,0.692307692307692
2003,1156,8,22,5,2,1,12,8,2,0.266666666666667,0.294117647058824,0.2,0.333333333333333,0.230769230769231
2003,1183,13,15,9,4,0,12,2,1,0.464285714285714,0.428571428571429,0.666666666666667,0,0.571428571428571
2003,1314,17,15,11,3,3,9,4,2,0.53125,0.55,0.428571428571429,0.6,0.5
2003,1353,12,16,10,2,0,10,6,0,0.428571428571429,0.5,0.25,NA,0.25
2003,1390,23,8,14,7,2,3,3,2,0.741935483870968,0.823529411764706,0.7,0.5,0.642857142857143
2003,1426,14,13,7,6,1,9,4,0,0.518518518518518,0.4375,0.6,1,0.636363636363636
2003,1462,25,5,14,10,1,2,1,2,0.833333333333333,0.875,0.909090909090909,0.333333333333333,0.785714285714286
2003,1196,24,7,15,7,2,3,1,3,0.774193548387097,0.833333333333333,0.875,0.4,0.692307692307692
2003,1242,23,7,13,7,3,2,1,4,0.766666666666667,0.866666666666667,0.875,0.428571428571429,0.666666666666667
2003,1422,6,22,5,1,0,13,8,1,0.214285714285714,0.277777777777778,0.111111111111111,0,0.1
2003,1304,11,18,9,0,2,10,6,2,0.379310344827586,0.473684210526316,0,0.5,0.2
2003,1113,18,11,12,4,2,6,3,2,0.620689655172414,0.666666666666667,0.571428571428571,0.5,0.545454545454545
2003,1116,9,19,8,1,0,9,8,2,0.321428571428571,0.470588235294118,0.111111111111111,0,0.0909090909090909
2003,1117,11,15,7,3,1,9,5,1,0.423076923076923,0.4375,0.375,0.5,0.4
2003,1120,19,11,13,3,3,5,4,2,0.633333333333333,0.722222222222222,0.428571428571429,0.6,0.5
2003,1122,20,7,11,6,3,7,0,0,0.740740740740741,0.611111111111111,1,1,1
2003,1123,13,17,9,2,2,11,5,1,0.433333333333333,0.45,0.285714285714286,0.666666666666667,0.4
2003,1133,11,18,6,3,2,10,7,1,0.379310344827586,0.375,0.3,0.666666666666667,0.384615384615385
2003,1139,24,5,11,10,3,5,0,0,0.827586206896552,0.6875,1,1,1
2003,1140,23,8,13,6,4,5,1,2,0.741935483870968,0.722222222222222,0.857142857142857,0.666666666666667,0.769230769230769
2003,1141,23,6,11,9,3,5,1,0,0.793103448275862,0.6875,0.9,1,0.923076923076923
2003,1148,15,13,9,5,1,7,4,2,0.535714285714286,0.5625,0.555555555555556,0.333333333333333,0.5
2003,1150,13,16,11,2,0,11,4,1,0.448275862068966,0.5,0.333333333333333,0,0.285714285714286
2003,1151,19,9,9,8,2,5,3,1,0.678571428571429,0.642857142857143,0.727272727272727,0.666666666666667,0.714285714285714
2003,1157,11,15,6,5,0,11,4,0,0.423076923076923,0.352941176470588,0.555555555555556,NA,0.555555555555556
2003,1158,22,7,10,7,5,4,2,1,0.758620689655172,0.714285714285714,0.777777777777778,0.833333333333333,0.8
2003,1160,20,11,14,3,3,9,1,1,0.645161290322581,0.608695652173913,0.75,0.75,0.75
2003,1165,8,18,4,4,0,11,7,0,0.307692307692308,0.266666666666667,0.363636363636364,NA,0.363636363636364
2003,1179,8,20,5,2,1,11,7,2,0.285714285714286,0.3125,0.222222222222222,0.333333333333333,0.25
2003,1187,10,15,6,3,1,9,6,0,0.4,0.4,0.333333333333333,1,0.4
2003,1191,12,16,9,3,0,10,5,1,0.428571428571429,0.473684210526316,0.375,0,0.333333333333333
2003,1200,2,26,1,1,0,13,13,0,0.0714285714285714,0.0714285714285714,0.0714285714285714,NA,0.0714285714285714
2003,1207,15,14,11,3,1,7,6,1,0.517241379310345,0.611111111111111,0.333333333333333,0.5,0.363636363636364
2003,1211,23,8,11,9,3,2,2,4,0.741935483870968,0.846153846153846,0.818181818181818,0.428571428571429,0.666666666666667
2003,1217,11,15,5,6,0,7,7,1,0.423076923076923,0.416666666666667,0.461538461538462,0,0.428571428571429
2003,1218,18,11,15,2,1,10,1,0,0.620689655172414,0.6,0.666666666666667,1,0.75
2003,1219,7,20,4,2,1,12,6,2,0.259259259259259,0.25,0.25,0.333333333333333,0.272727272727273
2003,1232,7,24,5,0,2,12,9,3,0.225806451612903,0.294117647058824,0,0.4,0.142857142857143
2003,1241,12,17,7,4,1,8,6,3,0.413793103448276,0.466666666666667,0.4,0.25,0.357142857142857
2003,1247,12,17,9,3,0,10,5,2,0.413793103448276,0.473684210526316,0.375,0,0.3
2003,1250,14,12,9,4,1,9,2,1,0.538461538461538,0.5,0.666666666666667,0.5,0.625
2003,1258,11,19,7,1,3,10,5,4,0.366666666666667,0.411764705882353,0.166666666666667,0.428571428571429,0.307692307692308
2003,1261,21,10,16,2,3,6,2,2,0.67741935483871,0.727272727272727,0.5,0.6,0.555555555555556
