"Season","TeamID","TotalPossessionTime","PossessionTimePerGame(S)","PossessionTimePerGame(M)"
2010,1143,38014,1151.93939393939,19.1989898989899
2010,1293,40614,1269.1875,21.153125
2010,1314,35550,1110.9375,18.515625
2010,1198,34628,1117.03225806452,18.6172043010753
2010,1108,33881,1092.93548387097,18.2155913978495
2010,1326,38926,1144.88235294118,19.0813725490196
2010,1107,39033,1219.78125,20.3296875
2010,1393,34392,1074.75,17.9125
2010,1178,37708,1142.66666666667,19.0444444444444
2010,1300,30711,1228.44,20.474
2010,1352,42141,1239.44117647059,20.6573529411765
2010,1301,43910,1291.47058823529,21.5245098039216
2010,1209,39520,1274.83870967742,21.247311827957
2010,1241,36755,1113.78787878788,18.5631313131313
2010,1111,41754,1346.90322580645,22.4483870967742
2010,1423,36496,1177.29032258065,19.6215053763441
2010,1442,33758,1250.2962962963,20.8382716049383
2010,1113,38479,1202.46875,20.0411458333333
2010,1116,38172,1192.875,19.88125
2010,1120,37438,1207.67741935484,20.1279569892473
2010,1310,38390,1163.33333333333,19.3888888888889
2010,1123,36189,1247.89655172414,20.798275862069
2010,1434,32653,1125.96551724138,18.766091954023
2010,1313,34185,1139.5,18.9916666666667
2010,1124,40908,1319.61290322581,21.9935483870968
2010,1125,36164,1166.58064516129,19.4430107526882
2010,1340,35650,1188.33333333333,19.8055555555556
2010,1129,37020,1194.1935483871,19.9032258064516
2010,1258,39073,1221.03125,20.3505208333333
2010,1130,37263,1202.03225806452,20.0338709677419
2010,1171,33710,1248.51851851852,20.8086419753086
2010,1383,33139,1142.72413793103,19.0454022988506
2010,1135,33135,1142.58620689655,19.0431034482759
2010,1421,32026,1143.78571428571,19.0630952380952
2010,1150,35224,1136.25806451613,18.9376344086022
2010,1155,40622,1310.38709677419,21.8397849462366
2010,1342,34657,1155.23333333333,19.2538888888889
2010,1157,38178,1272.6,21.21
2010,1158,40234,1257.3125,20.9552083333333
2010,1160,34343,1184.24137931034,19.7373563218391
2010,1115,43416,1356.75,22.6125
2010,1413,34777,1159.23333333333,19.3205555555556
2010,1161,35835,1194.5,19.9083333333333
2010,1163,37580,1174.375,19.5729166666667
2010,1456,36944,1191.74193548387,19.8623655913979
2010,1181,36387,1070.20588235294,17.8367647058824
2010,1422,34434,1110.77419354839,18.5129032258065
2010,1311,33243,1278.57692307692,21.3096153846154
2010,1182,36678,1222.6,20.3766666666667
2010,1193,43156,1348.625,22.4770833333333
2010,1148,34242,1141.4,19.0233333333333
2010,1251,31018,1107.78571428571,18.4630952380952
2010,1206,37610,1213.22580645161,20.2204301075269
2010,1207,38617,1170.21212121212,19.5035353535354
2010,1408,35541,1184.7,19.745
2010,1208,36058,1163.16129032258,19.3860215053763
2010,1309,33832,1208.28571428571,20.1380952380952
2010,1381,31831,1178.92592592593,19.6487654320988
2010,1218,32720,1128.27586206897,18.8045977011494
2010,1428,37345,1204.67741935484,20.0779569892473
2010,1225,33737,1163.34482758621,19.3890804597701
2010,1228,44710,1354.84848484848,22.5808080808081
2010,1188,31283,1203.19230769231,20.0532051282051
2010,1231,34604,1116.25806451613,18.6043010752688
2010,1224,36387,1137.09375,18.9515625
2010,1131,41944,1310.75,21.8458333333333
2010,1233,36163,1166.54838709677,19.4424731182796
2010,1235,37474,1171.0625,19.5177083333333
2010,1226,32893,1218.25925925926,20.3043209876543
2010,1220,40626,1269.5625,21.159375
2010,1242,42534,1251,20.85
2010,1243,45846,1432.6875,23.878125
2010,1260,32194,1149.78571428571,19.1630952380952
2010,1245,38636,1246.32258064516,20.7720430107527
2010,1359,30746,1098.07142857143,18.3011904761905
2010,1246,42081,1237.67647058824,20.6279411764706
2010,1287,41251,1330.67741935484,22.1779569892473
2010,1447,32322,1042.64516129032,17.3774193548387
2010,1248,35172,1099.125,18.31875
2010,1259,37422,1247.4,20.79
2010,1436,40151,1180.91176470588,19.681862745098
2010,1261,38586,1244.70967741935,20.7451612903226
2010,1419,34500,1189.65517241379,19.8275862068966
2010,1263,32620,1124.8275862069,18.7471264367816
2010,1200,32999,1178.53571428571,19.6422619047619
2010,1266,41976,1272,21.2
2010,1147,31247,1157.2962962963,19.2882716049383
2010,1268,34732,1157.73333333333,19.2955555555556
2010,1149,33417,1285.26923076923,21.4211538461538
2010,1238,37100,1236.66666666667,20.6111111111111
2010,1272,41103,1284.46875,21.4078125
2010,1273,33372,1076.51612903226,17.941935483871
2010,1137,31725,1023.38709677419,17.0564516129032
2010,1195,35353,1219.06896551724,20.317816091954
2010,1277,40855,1276.71875,21.2786458333333
2010,1114,32469,1159.60714285714,19.3267857142857
2010,1279,41803,1348.48387096774,22.4747311827957
2010,1284,36005,1161.45161290323,19.3575268817204
2010,1285,36676,1264.68965517241,21.0781609195402
2010,1315,32929,1176.03571428571,19.6005952380952
2010,1288,39955,1109.86111111111,18.4976851851852
2010,1294,35436,1181.2,19.6866666666667
2010,1270,34174,1265.7037037037,21.0950617283951
2010,1320,42514,1328.5625,22.1427083333333
2010,1176,41464,1295.75,21.5958333333333
2010,1296,34863,1162.1,19.3683333333333
2010,1321,39422,1194.60606060606,19.910101010101
