"","Season","TeamID","Score","FGM","FGA","FGM3","FGA3","FTM","FTA","OR","DR","Ast","TO","Stl","Blk","PF"
"1",2003,1104,69.2857142857143,24.0357142857143,57.1785714285714,6.35714285714286,19.8571428571429,14.8571428571429,20.9285714285714,13.5714285714286,23.9285714285714,12.1071428571429,13.2857142857143,6.60714285714286,3.78571428571429,18.0357142857143
"2",2003,1272,74.5172413793103,26.2758620689655,60,7,20.0689655172414,14.9655172413793,22.8965517241379,14.0689655172414,25.9655172413793,16.6206896551724,13.7931034482759,7.37931034482759,5.06896551724138,18.7586206896552
"3",2003,1266,78.3928571428571,27.2142857142857,56.25,5.78571428571429,15.25,18.1785714285714,23.6071428571429,13.1071428571429,24.0714285714286,16.3214285714286,13.5714285714286,6,3.64285714285714,18.6428571428571
"4",2003,1296,69.6129032258064,24.3548387096774,53.0645161290323,6.29032258064516,16.4193548387097,14.6129032258065,22.3870967741935,13,22.6451612903226,12.6774193548387,17,7.61290322580645,3.61290322580645,19.8064516129032
"5",2003,1400,78.8571428571429,28,62.4285714285714,5.85714285714286,16.7857142857143,17,23.7857142857143,16.1785714285714,26.1428571428571,14.5,13.4285714285714,6.39285714285714,3.85714285714286,20.3571428571429
"6",2003,1458,70.7241379310345,25.0344827586207,53.8965517241379,6.24137931034483,17.3793103448276,14.4137931034483,19.448275862069,10.3103448275862,22.551724137931,13.3103448275862,10.5172413793103,6.96551724137931,2.82758620689655,14.8275862068966
"7",2003,1161,74,26.4,52.1,4.2,11.5666666666667,17,24.2666666666667,10.8,23.4666666666667,15.5,16.1333333333333,5.33333333333333,4.23333333333333,20.5666666666667
"8",2003,1186,69.9655172413793,23.8965517241379,51.2068965517241,4.68965517241379,13.3448275862069,17.4827586206897,23.8275862068966,9.37931034482759,22.8620689655172,14.7931034482759,17.0344827586207,7.68965517241379,2.72413793103448,21.4827586206897
"9",2003,1194,69.0740740740741,25.1481481481481,64.037037037037,6.48148148148148,19.3333333333333,12.2962962962963,18.4074074074074,14.3703703703704,21.5555555555556,12.2222222222222,16.6296296296296,9.07407407407407,3.48148148148148,23.3333333333333
"10",2003,1166,79.2424242424242,28.6969696969697,57.4545454545455,7.96969696969697,20.4848484848485,13.8787878787879,20.030303030303,10.8787878787879,23.1818181818182,16.8181818181818,13.3636363636364,8.39393939393939,4.45454545454545,17.2727272727273
